[01:00:03.841629714] (+0.000014381) 0 stack_usage: { pid = 6, func_ptr = 0x80226CD, usage_bytes = 1600 }
[01:00:03.841640952] (+0.000011238) 0 stack_usage: { pid = 6, func_ptr = 0x800FBB5, usage_bytes = 1624 }
[01:00:03.841652380] (+0.000011428) 0 stack_usage: { pid = 6, func_ptr = 0x800FCA9, usage_bytes = 1616 }
[01:00:03.841668000] (+0.000015620) 0 stack_usage: { pid = 6, func_ptr = 0x8010581, usage_bytes = 1536 }
[01:00:03.841779714] (+0.000111714) 0 stack_usage: { pid = 6, func_ptr = 0x80201ED, usage_bytes = 1560 }
[01:00:03.841791619] (+0.000011905) 0 stack_usage: { pid = 6, func_ptr = 0x801087D, usage_bytes = 6712 }
[01:00:03.841802761] (+0.000011142) 0 stack_usage: { pid = 6, func_ptr = 0x80102BD, usage_bytes = 6736 }
[01:00:03.841819809] (+0.000017048) 0 stack_usage: { pid = 6, func_ptr = 0x80102BD, usage_bytes = 6736 }
[01:00:03.841951238] (+0.000131429) 0 stack_usage: { pid = 6, func_ptr = 0x8010581, usage_bytes = 1536 }
[01:00:03.842063047] (+0.000111809) 0 stack_usage: { pid = 6, func_ptr = 0x8020601, usage_bytes = 1560 }
[01:00:03.842074952] (+0.000011905) 0 stack_usage: { pid = 6, func_ptr = 0x801087D, usage_bytes = 6712 }
[01:00:03.842086190] (+0.000011238) 0 stack_usage: { pid = 6, func_ptr = 0x80102BD, usage_bytes = 6736 }
[01:00:03.842103809] (+0.000017619) 0 stack_usage: { pid = 6, func_ptr = 0x80102BD, usage_bytes = 6736 }
[01:00:03.842235333] (+0.000131524) 0 stack_usage: { pid = 6, func_ptr = 0x8010581, usage_bytes = 1536 }
[01:00:03.842346857] (+0.000111524) 0 stack_usage: { pid = 6, func_ptr = 0x8020495, usage_bytes = 1528 }
[01:00:03.842360095] (+0.000013238) 0 stack_usage: { pid = 6, func_ptr = 0x801087D, usage_bytes = 6680 }
[01:00:03.842371238] (+0.000011143) 0 stack_usage: { pid = 6, func_ptr = 0x80102BD, usage_bytes = 6704 }
[01:00:03.842386952] (+0.000015714) 0 stack_usage: { pid = 6, func_ptr = 0x80102BD, usage_bytes = 6704 }
[01:00:03.842518476] (+0.000131524) 0 stack_usage: { pid = 6, func_ptr = 0x8010581, usage_bytes = 1536 }
[01:00:03.842629904] (+0.000111428) 0 stack_usage: { pid = 6, func_ptr = 0x8020495, usage_bytes = 1528 }
[01:00:03.842643142] (+0.000013238) 0 stack_usage: { pid = 6, func_ptr = 0x801087D, usage_bytes = 6680 }
[01:00:03.842654190] (+0.000011048) 0 stack_usage: { pid = 6, func_ptr = 0x80102BD, usage_bytes = 6704 }
[01:00:03.842669904] (+0.000015714) 0 stack_usage: { pid = 6, func_ptr = 0x80102BD, usage_bytes = 6704 }
[01:00:03.842801428] (+0.000131524) 0 stack_usage: { pid = 6, func_ptr = 0x8010581, usage_bytes = 1536 }
[01:00:03.842912857] (+0.000111429) 0 stack_usage: { pid = 6, func_ptr = 0x8020495, usage_bytes = 1528 }
[01:00:03.842926380] (+0.000013523) 0 stack_usage: { pid = 6, func_ptr = 0x801087D, usage_bytes = 6680 }
[01:00:03.842937619] (+0.000011239) 0 stack_usage: { pid = 6, func_ptr = 0x80102BD, usage_bytes = 6704 }
[01:00:03.842953333] (+0.000015714) 0 stack_usage: { pid = 6, func_ptr = 0x80102BD, usage_bytes = 6704 }
[01:00:03.843084761] (+0.000131428) 0 stack_usage: { pid = 6, func_ptr = 0x8010581, usage_bytes = 1536 }
[01:00:03.843199428] (+0.000114667) 0 stack_usage: { pid = 6, func_ptr = 0x800FCA9, usage_bytes = 1520 }
[01:00:03.843213619] (+0.000014191) 0 stack_usage: { pid = 6, func_ptr = 0x800FCA9, usage_bytes = 1520 }
[01:00:03.843228285] (+0.000014666) 0 stack_usage: { pid = 6, func_ptr = 0x800AB41, usage_bytes = 3504 }
[01:00:03.843239523] (+0.000011238) 0 stack_usage: { pid = 6, func_ptr = 0x8011E3D, usage_bytes = 3552 }
[01:00:03.843250761] (+0.000011238) 0 stack_usage: { pid = 6, func_ptr = 0x800FB71, usage_bytes = 3576 }
[01:00:03.843262476] (+0.000011715) 0 stack_usage: { pid = 6, func_ptr = 0x8011AFD, usage_bytes = 5696 }
[01:00:03.843273809] (+0.000011333) 0 stack_usage: { pid = 6, func_ptr = 0x800FBB5, usage_bytes = 5720 }
[01:00:03.843285809] (+0.000012000) 0 stack_usage: { pid = 6, func_ptr = 0x8010DC9, usage_bytes = 5720 }
[01:00:03.843300190] (+0.000014381) 0 stack_usage: { pid = 6, func_ptr = 0x8010DC9, usage_bytes = 5720 }
[01:00:03.843314476] (+0.000014286) 0 stack_usage: { pid = 6, func_ptr = 0x8010DC9, usage_bytes = 5720 }
[01:00:03.843328857] (+0.000014381) 0 stack_usage: { pid = 6, func_ptr = 0x8013589, usage_bytes = 5712 }
[01:00:03.843340476] (+0.000011619) 0 stack_usage: { pid = 6, func_ptr = 0x8013E65, usage_bytes = 5736 }
[01:00:03.843351809] (+0.000011333) 0 stack_usage: { pid = 6, func_ptr = 0x800FBB5, usage_bytes = 5760 }
[01:00:03.843363238] (+0.000011429) 0 stack_usage: { pid = 6, func_ptr = 0x800FCD1, usage_bytes = 5752 }
