[01:00:00.000256190] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:00.000390285] (+0.000134095) 0 thread_create: { thread_id = 3, name = "lpwork" }
[01:00:00.003429333] (+0.003039048) 0 thread_create: { thread_id = 5, name = "init" }
[01:00:03.259865809] (+0.000017048) 0 function_usage: { pid = 6, func_ptr = 0x801181D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.259876190] (+0.000010381) 0 function_usage: { pid = 6, func_ptr = 0x801181D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.259886666] (+0.000010476) 0 function_usage: { pid = 6, func_ptr = 0x800F175, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.259896952] (+0.000010286) 0 function_usage: { pid = 6, func_ptr = 0x800F175, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.259907428] (+0.000010476) 0 function_usage: { pid = 6, func_ptr = 0x800F2B1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.259917714] (+0.000010286) 0 function_usage: { pid = 6, func_ptr = 0x8011855, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.259928000] (+0.000010286) 0 function_usage: { pid = 6, func_ptr = 0x8011855, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.259938666] (+0.000010666) 0 function_usage: { pid = 6, func_ptr = 0x800F245, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.259949047] (+0.000010381) 0 function_usage: { pid = 6, func_ptr = 0x8011999, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.259962952] (+0.000013905) 0 function_usage: { pid = 6, func_ptr = 0x8011999, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.259973428] (+0.000010476) 0 function_usage: { pid = 6, func_ptr = 0x8012309, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.259986285] (+0.000012857) 0 function_usage: { pid = 6, func_ptr = 0x8012391, fe = ( "FUNCTION_ENTER" : container = 0 ) }
