[01:00:06.100098571] (+0.000024571) 0 stack_usage: { pid = 6, func_ptr = 0x8015991, usage_bytes = 784 }
[01:00:06.100123619] (+0.000025048) 0 stack_usage: { pid = 6, func_ptr = 0x801E64D, usage_bytes = 688 }
[01:00:06.100147142] (+0.000023523) 0 stack_usage: { pid = 6, func_ptr = 0x801714D, usage_bytes = 712 }
[01:00:06.100172095] (+0.000024953) 0 stack_usage: { pid = 6, func_ptr = 0x801A11D, usage_bytes = 720 }
[01:00:06.111277047] (+0.011104952) 0 stack_usage: { pid = 6, func_ptr = 0x80190BD, usage_bytes = 744 }
[01:00:06.111309047] (+0.000032000) 0 stack_usage: { pid = 6, func_ptr = 0x8016FFD, usage_bytes = 888 }
[01:00:06.111334380] (+0.000025333) 0 stack_usage: { pid = 6, func_ptr = 0x8015A31, usage_bytes = 1040 }
[01:00:06.111359523] (+0.000025143) 0 stack_usage: { pid = 6, func_ptr = 0x8015D39, usage_bytes = 1056 }
[01:00:06.111385428] (+0.000025905) 0 stack_usage: { pid = 6, func_ptr = 0x802BA81, usage_bytes = 1064 }
[01:00:06.111408952] (+0.000023524) 0 stack_usage: { pid = 6, func_ptr = 0x8017285, usage_bytes = 1032 }
[01:00:06.111476571] (+0.000067619) 0 stack_usage: { pid = 6, func_ptr = 0x8022D5D, usage_bytes = 376 }
[01:00:06.111502190] (+0.000025619) 0 stack_usage: { pid = 6, func_ptr = 0x8025D25, usage_bytes = 368 }
[01:00:06.111525904] (+0.000023714) 0 stack_usage: { pid = 6, func_ptr = 0x8024511, usage_bytes = 488 }
[01:00:06.111564095] (+0.000038191) 0 stack_usage: { pid = 6, func_ptr = 0x8019861, usage_bytes = 512 }
[01:00:06.111590571] (+0.000026476) 0 stack_usage: { pid = 6, func_ptr = 0x802BC1D, usage_bytes = 616 }
[01:00:06.111618952] (+0.000028381) 0 stack_usage: { pid = 6, func_ptr = 0x80182D9, usage_bytes = 632 }
[01:00:06.199875142] (+0.088256190) 0 stack_usage: { pid = 6, func_ptr = 0x8024B9D, usage_bytes = 528 }
[01:00:06.199900000] (+0.000024858) 0 stack_usage: { pid = 6, func_ptr = 0x8024BCD, usage_bytes = 480 }
[01:00:06.199926000] (+0.000026000) 0 stack_usage: { pid = 6, func_ptr = 0x8025165, usage_bytes = 464 }
[01:00:06.199952952] (+0.000026952) 0 stack_usage: { pid = 6, func_ptr = 0x8026301, usage_bytes = 544 }
[01:00:06.199976000] (+0.000023048) 0 stack_usage: { pid = 6, func_ptr = 0x8026261, usage_bytes = 544 }
[01:00:06.199998952] (+0.000022952) 0 stack_usage: { pid = 6, func_ptr = 0x80261D5, usage_bytes = 536 }
[01:00:06.200021523] (+0.000022571) 0 stack_usage: { pid = 6, func_ptr = 0x8026291, usage_bytes = 616 }
[01:00:06.200046952] (+0.000025429) 0 stack_usage: { pid = 6, func_ptr = 0x801724D, usage_bytes = 656 }
[01:00:06.200070095] (+0.000023143) 0 stack_usage: { pid = 6, func_ptr = 0x802C5C9, usage_bytes = 848 }
[01:00:06.200094095] (+0.000024000) 0 stack_usage: { pid = 6, func_ptr = 0x8015991, usage_bytes = 784 }
[01:00:06.200119428] (+0.000025333) 0 stack_usage: { pid = 6, func_ptr = 0x8017C15, usage_bytes = 720 }
[01:00:06.200141904] (+0.000022476) 0 stack_usage: { pid = 6, func_ptr = 0x8016FB1, usage_bytes = 768 }
[01:00:06.200168380] (+0.000026476) 0 stack_usage: { pid = 6, func_ptr = 0x80198FD, usage_bytes = 624 }
[01:00:06.200191904] (+0.000023524) 0 stack_usage: { pid = 6, func_ptr = 0x802C611, usage_bytes = 744 }
[01:00:06.200215904] (+0.000024000) 0 stack_usage: { pid = 6, func_ptr = 0x8016FFD, usage_bytes = 848 }
[01:00:06.201110285] (+0.000894381) 0 stack_usage: { pid = 6, func_ptr = 0x802C5C9, usage_bytes = 752 }
[01:00:06.201133809] (+0.000023524) 0 stack_usage: { pid = 6, func_ptr = 0x801A6AD, usage_bytes = 712 }
[01:00:06.210013904] (+0.008880095) 0 stack_usage: { pid = 6, func_ptr = 0x80170FD, usage_bytes = 848 }
[01:00:06.210038380] (+0.000024476) 0 stack_usage: { pid = 6, func_ptr = 0x8015DB9, usage_bytes = 856 }
[01:00:06.210063904] (+0.000025524) 0 stack_usage: { pid = 6, func_ptr = 0x8017385, usage_bytes = 1000 }
[01:00:06.210089333] (+0.000025429) 0 stack_usage: { pid = 6, func_ptr = 0x8018859, usage_bytes = 1008 }
[01:00:06.210114476] (+0.000025143) 0 stack_usage: { pid = 6, func_ptr = 0x801A199, usage_bytes = 1032 }
[01:00:06.210138857] (+0.000024381) 0 stack_usage: { pid = 6, func_ptr = 0x801A641, usage_bytes = 984 }
[01:00:06.210206476] (+0.000067619) 0 stack_usage: { pid = 6, func_ptr = 0x8011101, usage_bytes = 344 }
[01:00:06.210229333] (+0.000022857) 0 stack_usage: { pid = 6, func_ptr = 0x8025561, usage_bytes = 480 }
[01:00:06.210255142] (+0.000025809) 0 stack_usage: { pid = 6, func_ptr = 0x8025165, usage_bytes = 472 }
[01:00:06.210280666] (+0.000025524) 0 stack_usage: { pid = 6, func_ptr = 0x80261D5, usage_bytes = 552 }
[01:00:06.210320571] (+0.000039905) 0 stack_usage: { pid = 6, func_ptr = 0x802C5C9, usage_bytes = 640 }
[01:00:06.210348285] (+0.000027714) 0 stack_usage: { pid = 6, func_ptr = 0x802C611, usage_bytes = 608 }
[01:00:06.299870095] (+0.089521810) 0 stack_usage: { pid = 6, func_ptr = 0x8024ABD, usage_bytes = 536 }
[01:00:06.299905142] (+0.000035047) 0 stack_usage: { pid = 6, func_ptr = 0x8010D39, usage_bytes = 416 }
[01:00:06.299930476] (+0.000025334) 0 stack_usage: { pid = 6, func_ptr = 0x8026261, usage_bytes = 544 }
[01:00:06.299955428] (+0.000024952) 0 stack_usage: { pid = 6, func_ptr = 0x80122B9, usage_bytes = 536 }
[01:00:06.299981428] (+0.000026000) 0 stack_usage: { pid = 6, func_ptr = 0x8026221, usage_bytes = 544 }
[01:00:06.300004952] (+0.000023524) 0 stack_usage: { pid = 6, func_ptr = 0x80262C9, usage_bytes = 504 }
[01:00:06.300027333] (+0.000022381) 0 stack_usage: { pid = 6, func_ptr = 0x8022D5D, usage_bytes = 568 }
