[01:00:03.287076190] (+0.000011333) 0 stack_usage: { pid = 6, func_ptr = 0x8015555, usage_bytes = 6088 }
[01:00:03.287100380] (+0.000024190) 0 stack_usage: { pid = 6, func_ptr = 0x801A52D, usage_bytes = 6104 }
[01:00:03.287111523] (+0.000011143) 0 stack_usage: { pid = 6, func_ptr = 0x8015555, usage_bytes = 6128 }
[01:00:03.287122857] (+0.000011334) 0 stack_usage: { pid = 6, func_ptr = 0x8015701, usage_bytes = 6120 }
[01:00:03.287139714] (+0.000016857) 0 stack_usage: { pid = 6, func_ptr = 0x801A34D, usage_bytes = 6136 }
[01:00:03.287176666] (+0.000036952) 0 stack_usage: { pid = 6, func_ptr = 0x802FA7D, usage_bytes = 5016 }
[01:00:03.287205428] (+0.000028762) 0 stack_usage: { pid = 6, func_ptr = 0x803060D, usage_bytes = 1896 }
[01:00:03.287230380] (+0.000024952) 0 stack_usage: { pid = 6, func_ptr = 0x80305BD, usage_bytes = 1904 }
[01:00:03.287253142] (+0.000022762) 0 stack_usage: { pid = 6, func_ptr = 0x80305BD, usage_bytes = 1896 }
[01:00:03.287275809] (+0.000022667) 0 stack_usage: { pid = 6, func_ptr = 0x80305BD, usage_bytes = 1904 }
[01:00:03.287298476] (+0.000022667) 0 stack_usage: { pid = 6, func_ptr = 0x80305BD, usage_bytes = 1896 }
[01:00:03.287520857] (+0.000222381) 0 stack_usage: { pid = 6, func_ptr = 0x801F4AD, usage_bytes = 1864 }
[01:00:03.287542761] (+0.000021904) 0 stack_usage: { pid = 6, func_ptr = 0x80367D5, usage_bytes = 2008 }
[01:00:03.287565904] (+0.000023143) 0 stack_usage: { pid = 6, func_ptr = 0x8037011, usage_bytes = 2008 }
[01:00:03.287589047] (+0.000023143) 0 stack_usage: { pid = 6, func_ptr = 0x802135D, usage_bytes = 1896 }
[01:00:03.287615904] (+0.000026857) 0 stack_usage: { pid = 6, func_ptr = 0x802117D, usage_bytes = 1952 }
[01:00:03.287637523] (+0.000021619) 0 stack_usage: { pid = 6, func_ptr = 0x8037011, usage_bytes = 1992 }
[01:00:03.287659809] (+0.000022286) 0 stack_usage: { pid = 6, func_ptr = 0x8036775, usage_bytes = 2016 }
[01:00:03.287683619] (+0.000023810) 0 stack_usage: { pid = 6, func_ptr = 0x801E19D, usage_bytes = 2096 }
[01:00:03.287710571] (+0.000026952) 0 stack_usage: { pid = 6, func_ptr = 0x8031655, usage_bytes = 2080 }
[01:00:03.287733047] (+0.000022476) 0 stack_usage: { pid = 6, func_ptr = 0x801E131, usage_bytes = 2136 }
[01:00:03.287757047] (+0.000024000) 0 stack_usage: { pid = 6, func_ptr = 0x801E515, usage_bytes = 2080 }
[01:00:03.287785238] (+0.000028191) 0 stack_usage: { pid = 6, func_ptr = 0x803337D, usage_bytes = 2048 }
[01:00:03.288783428] (+0.000998190) 0 stack_usage: { pid = 6, func_ptr = 0x801FDF5, usage_bytes = 2024 }
[01:00:03.300951428] (+0.012168000) 0 stack_usage: { pid = 6, func_ptr = 0x801E66D, usage_bytes = 2112 }
[01:00:03.300982857] (+0.000031429) 0 stack_usage: { pid = 6, func_ptr = 0x801FCB5, usage_bytes = 2136 }
[01:00:03.301005238] (+0.000022381) 0 stack_usage: { pid = 6, func_ptr = 0x8033461, usage_bytes = 2264 }
[01:00:03.301028190] (+0.000022952) 0 stack_usage: { pid = 6, func_ptr = 0x801E19D, usage_bytes = 2376 }
[01:00:03.301051428] (+0.000023238) 0 stack_usage: { pid = 6, func_ptr = 0x8031801, usage_bytes = 2408 }
[01:00:03.301075619] (+0.000024191) 0 stack_usage: { pid = 6, func_ptr = 0x801E515, usage_bytes = 2256 }
[01:00:03.301102666] (+0.000027047) 0 stack_usage: { pid = 6, func_ptr = 0x800EE0D, usage_bytes = 4928 }
[01:00:03.301127238] (+0.000024572) 0 stack_usage: { pid = 6, func_ptr = 0x8028851, usage_bytes = 4992 }
[01:00:03.301149047] (+0.000021809) 0 stack_usage: { pid = 6, func_ptr = 0x8028851, usage_bytes = 4992 }
[01:00:03.301179904] (+0.000030857) 0 stack_usage: { pid = 6, func_ptr = 0x8029EAD, usage_bytes = 4976 }
[01:00:03.301206380] (+0.000026476) 0 stack_usage: { pid = 6, func_ptr = 0x8016B7D, usage_bytes = 4968 }
[01:00:03.301263523] (+0.000057143) 0 stack_usage: { pid = 6, func_ptr = 0x8016C2D, usage_bytes = 4936 }
[01:00:03.301291428] (+0.000027905) 0 stack_usage: { pid = 6, func_ptr = 0x8015701, usage_bytes = 5488 }
[01:00:03.301360666] (+0.000069238) 0 stack_usage: { pid = 6, func_ptr = 0x801EA9D, usage_bytes = 5488 }
[01:00:03.301385904] (+0.000025238) 0 stack_usage: { pid = 6, func_ptr = 0x8036FB1, usage_bytes = 5784 }
[01:00:03.301409333] (+0.000023429) 0 stack_usage: { pid = 6, func_ptr = 0x8021D29, usage_bytes = 5704 }
[01:00:03.301432666] (+0.000023333) 0 stack_usage: { pid = 6, func_ptr = 0x8020A71, usage_bytes = 5648 }
[01:00:03.301454952] (+0.000022286) 0 stack_usage: { pid = 6, func_ptr = 0x80313F9, usage_bytes = 5728 }
[01:00:03.301478000] (+0.000023048) 0 stack_usage: { pid = 6, func_ptr = 0x80364E5, usage_bytes = 5744 }
[01:00:03.301509523] (+0.000031523) 0 stack_usage: { pid = 6, func_ptr = 0x801E19D, usage_bytes = 5720 }
[01:00:03.301533523] (+0.000024000) 0 stack_usage: { pid = 6, func_ptr = 0x8036FB1, usage_bytes = 5560 }
