[01:00:00.000086761] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:11.295825619] (+0.003500477) 0 stack_usage: { pid = 9, func_ptr = 0x800B629, usage_bytes = 88 }
[01:00:11.295850476] (+0.000024857) 0 stack_usage: { pid = 9, func_ptr = 0x800B851, usage_bytes = 256 }
[01:00:11.295863619] (+0.000013143) 0 stack_usage: { pid = 9, func_ptr = 0x800B7A9, usage_bytes = 272 }
[01:00:11.295875809] (+0.000012190) 0 stack_usage: { pid = 9, func_ptr = 0x800B809, usage_bytes = 272 }
[01:00:11.295922190] (+0.000046381) 0 stack_usage: { pid = 9, func_ptr = 0x800B7D5, usage_bytes = 280 }
[01:00:11.295934000] (+0.000011810) 0 stack_usage: { pid = 9, func_ptr = 0x800B3D9, usage_bytes = 312 }
[01:00:12.301318571] (+1.005384571) 0 stack_usage: { pid = 9, func_ptr = 0x800B7D5, usage_bytes = 280 }
[01:00:12.301338380] (+0.000019809) 0 stack_usage: { pid = 9, func_ptr = 0x800B3D9, usage_bytes = 312 }
[01:00:12.301549238] (+0.000210858) 0 stack_usage: { pid = 9, func_ptr = 0x800B7D5, usage_bytes = 280 }
[01:00:12.301561047] (+0.000011809) 0 stack_usage: { pid = 9, func_ptr = 0x800B3D9, usage_bytes = 312 }
[01:00:12.302460095] (+0.000899048) 0 stack_usage: { pid = 8, func_ptr = 0x8006B25, usage_bytes = 312 }
[01:00:12.302483619] (+0.000023524) 0 stack_usage: { pid = 8, func_ptr = 0x800682D, usage_bytes = 56 }
[01:00:12.302495428] (+0.000011809) 0 stack_usage: { pid = 8, func_ptr = 0x8006801, usage_bytes = 72 }
[01:00:12.302507142] (+0.000011714) 0 stack_usage: { pid = 8, func_ptr = 0x8006629, usage_bytes = 88 }
[01:00:12.303162285] (+0.000655143) 0 measurement_start:
[01:00:12.303180095] (+0.000017810) 0 stack_usage: { pid = 7, func_ptr = 0x800C7FD, usage_bytes = 280 }
[01:00:12.303191904] (+0.000011809) 0 stack_usage: { pid = 7, func_ptr = 0x8011BF1, usage_bytes = 288 }
[01:00:12.303204000] (+0.000012096) 0 stack_usage: { pid = 7, func_ptr = 0x800C885, usage_bytes = 1384 }
[01:00:12.303215809] (+0.000011809) 0 stack_usage: { pid = 7, func_ptr = 0x8011C35, usage_bytes = 1408 }
[01:00:12.303227523] (+0.000011714) 0 stack_usage: { pid = 7, func_ptr = 0x8011D51, usage_bytes = 1400 }
[01:00:12.303242952] (+0.000015429) 0 stack_usage: { pid = 7, func_ptr = 0x8020BC1, usage_bytes = 1400 }
[01:00:12.303256857] (+0.000013905) 0 stack_usage: { pid = 7, func_ptr = 0x801645D, usage_bytes = 1440 }
[01:00:12.303268571] (+0.000011714) 0 stack_usage: { pid = 7, func_ptr = 0x8011C35, usage_bytes = 1464 }
[01:00:12.303280857] (+0.000012286) 0 stack_usage: { pid = 7, func_ptr = 0x8011D51, usage_bytes = 1456 }
[01:00:12.303307047] (+0.000026190) 0 stack_usage: { pid = 7, func_ptr = 0x800BF4D, usage_bytes = 296 }
[01:00:12.303318761] (+0.000011714) 0 stack_usage: { pid = 7, func_ptr = 0x8021621, usage_bytes = 312 }
[01:00:12.303332190] (+0.000013429) 0 stack_usage: { pid = 7, func_ptr = 0x800C40D, usage_bytes = 1408 }
[01:00:12.303344380] (+0.000012190) 0 stack_usage: { pid = 7, func_ptr = 0x8011C35, usage_bytes = 1432 }
[01:00:12.303356476] (+0.000012096) 0 stack_usage: { pid = 7, func_ptr = 0x8021621, usage_bytes = 1424 }
[01:00:12.303368285] (+0.000011809) 0 stack_usage: { pid = 7, func_ptr = 0x8011CC9, usage_bytes = 1432 }
[01:00:12.303386285] (+0.000018000) 0 stack_usage: { pid = 7, func_ptr = 0x8020B8D, usage_bytes = 1424 }
[01:00:12.303399238] (+0.000012953) 0 stack_usage: { pid = 7, func_ptr = 0x800CA6D, usage_bytes = 2512 }
[01:00:12.303411238] (+0.000012000) 0 stack_usage: { pid = 7, func_ptr = 0x800C885, usage_bytes = 3632 }
[01:00:12.303423047] (+0.000011809) 0 stack_usage: { pid = 7, func_ptr = 0x8011C35, usage_bytes = 3656 }
[01:00:12.303434857] (+0.000011810) 0 stack_usage: { pid = 7, func_ptr = 0x8011D51, usage_bytes = 3648 }
[01:00:12.303450000] (+0.000015143) 0 stack_usage: { pid = 7, func_ptr = 0x8020BC1, usage_bytes = 3648 }
[01:00:12.303464000] (+0.000014000) 0 stack_usage: { pid = 7, func_ptr = 0x801645D, usage_bytes = 3688 }
[01:00:12.303475714] (+0.000011714) 0 stack_usage: { pid = 7, func_ptr = 0x8011C35, usage_bytes = 3712 }
[01:00:12.303487904] (+0.000012190) 0 stack_usage: { pid = 7, func_ptr = 0x8011D51, usage_bytes = 3704 }
[01:00:12.303514380] (+0.000026476) 0 stack_usage: { pid = 7, func_ptr = 0x8016629, usage_bytes = 2576 }
[01:00:12.303526095] (+0.000011715) 0 stack_usage: { pid = 7, func_ptr = 0x8011C35, usage_bytes = 2600 }
[01:00:12.303539428] (+0.000013333) 0 stack_usage: { pid = 7, func_ptr = 0x80208B1, usage_bytes = 2616 }
[01:00:12.303551142] (+0.000011714) 0 stack_usage: { pid = 7, func_ptr = 0x8011BF1, usage_bytes = 2640 }
[01:00:12.303562952] (+0.000011810) 0 stack_usage: { pid = 7, func_ptr = 0x8011D29, usage_bytes = 2632 }
[01:00:12.303577714] (+0.000014762) 0 stack_usage: { pid = 7, func_ptr = 0x8020BC1, usage_bytes = 2592 }
[01:00:12.303591809] (+0.000014095) 0 stack_usage: { pid = 7, func_ptr = 0x8020BC1, usage_bytes = 2528 }
[01:00:12.303605714] (+0.000013905) 0 stack_usage: { pid = 7, func_ptr = 0x8016551, usage_bytes = 2536 }
[01:00:12.303619238] (+0.000013524) 0 stack_usage: { pid = 7, func_ptr = 0x8020869, usage_bytes = 2584 }
[01:00:12.303630952] (+0.000011714) 0 stack_usage: { pid = 7, func_ptr = 0x8011BF1, usage_bytes = 2608 }
[01:00:12.303642666] (+0.000011714) 0 stack_usage: { pid = 7, func_ptr = 0x8011D51, usage_bytes = 2600 }
[01:00:12.303660285] (+0.000017619) 0 stack_usage: { pid = 7, func_ptr = 0x8011CC9, usage_bytes = 1432 }
[01:00:12.303676095] (+0.000015810) 0 stack_usage: { pid = 7, func_ptr = 0x8011D51, usage_bytes = 1424 }
[01:00:12.303692285] (+0.000016190) 0 stack_usage: { pid = 7, func_ptr = 0x8022749, usage_bytes = 1504 }
[01:00:12.303704000] (+0.000011715) 0 stack_usage: { pid = 7, func_ptr = 0x8011C35, usage_bytes = 1528 }
[01:00:12.303716095] (+0.000012095) 0 stack_usage: { pid = 7, func_ptr = 0x8011D51, usage_bytes = 1520 }
[01:00:12.303730761] (+0.000014666) 0 stack_usage: { pid = 7, func_ptr = 0x8011D51, usage_bytes = 1520 }
[01:00:12.303745904] (+0.000015143) 0 stack_usage: { pid = 7, func_ptr = 0x8011D51, usage_bytes = 1520 }
[01:00:12.303761047] (+0.000015143) 0 stack_usage: { pid = 7, func_ptr = 0x8011D51, usage_bytes = 1520 }
[01:00:12.303776571] (+0.000015524) 0 stack_usage: { pid = 7, func_ptr = 0x802258D, usage_bytes = 1544 }
[01:00:12.303788857] (+0.000012286) 0 stack_usage: { pid = 7, func_ptr = 0x80128FD, usage_bytes = 6696 }
[01:00:12.303800571] (+0.000011714) 0 stack_usage: { pid = 7, func_ptr = 0x801233D, usage_bytes = 6720 }
[01:00:12.303817523] (+0.000016952) 0 stack_usage: { pid = 7, func_ptr = 0x801233D, usage_bytes = 6720 }
[01:00:12.304046000] (+0.000228477) 0 stack_usage: { pid = 7, func_ptr = 0x8012601, usage_bytes = 1536 }
[01:00:12.304158095] (+0.000112095) 0 stack_usage: { pid = 7, func_ptr = 0x800F24D, usage_bytes = 1520 }
