[01:00:00.000209142] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:07.898295142] (+0.000027523) 0 stack_usage: { pid = 6, func_ptr = 0x8031375, usage_bytes = 1176 }
[01:00:07.898322952] (+0.000027810) 0 stack_usage: { pid = 6, func_ptr = 0x8013A89, usage_bytes = 1312 }
[01:00:07.898351523] (+0.000028571) 0 stack_usage: { pid = 6, func_ptr = 0x8032CF1, usage_bytes = 1368 }
[01:00:07.898379809] (+0.000028286) 0 stack_usage: { pid = 6, func_ptr = 0x802CF65, usage_bytes = 1328 }
[01:00:07.898408476] (+0.000028667) 0 stack_usage: { pid = 6, func_ptr = 0x8013A89, usage_bytes = 1352 }
[01:00:07.898436952] (+0.000028476) 0 stack_usage: { pid = 6, func_ptr = 0x8019E71, usage_bytes = 1344 }
[01:00:07.898462476] (+0.000025524) 0 stack_usage: { pid = 6, func_ptr = 0x8019AA9, usage_bytes = 1344 }
[01:00:07.898487714] (+0.000025238) 0 stack_usage: { pid = 6, func_ptr = 0x8019AA9, usage_bytes = 1344 }
[01:00:07.898512952] (+0.000025238) 0 stack_usage: { pid = 6, func_ptr = 0x8019AA9, usage_bytes = 1344 }
[01:00:07.898569809] (+0.000056857) 0 stack_usage: { pid = 6, func_ptr = 0x80263A5, usage_bytes = 784 }
[01:00:07.898595523] (+0.000025714) 0 stack_usage: { pid = 6, func_ptr = 0x802A491, usage_bytes = 976 }
[01:00:07.898651619] (+0.000056096) 0 stack_usage: { pid = 6, func_ptr = 0x800CE19, usage_bytes = 592 }
[01:00:07.898677333] (+0.000025714) 0 stack_usage: { pid = 6, func_ptr = 0x802A549, usage_bytes = 736 }
[01:00:07.898704190] (+0.000026857) 0 stack_usage: { pid = 6, func_ptr = 0x802691D, usage_bytes = 2816 }
[01:00:07.898717238] (+0.000013048) 0 stack_usage: { pid = 6, func_ptr = 0x802AC55, usage_bytes = 2840 }
[01:00:07.898735238] (+0.000018000) 0 stack_usage: { pid = 6, func_ptr = 0x802B025, usage_bytes = 2856 }
[01:00:07.898748190] (+0.000012952) 0 stack_usage: { pid = 6, func_ptr = 0x800F411, usage_bytes = 2880 }
[01:00:07.898768095] (+0.000019905) 0 stack_usage: { pid = 6, func_ptr = 0x802AD55, usage_bytes = 2888 }
[01:00:07.898784190] (+0.000016095) 0 stack_usage: { pid = 6, func_ptr = 0x8033239, usage_bytes = 2904 }
[01:00:07.898797333] (+0.000013143) 0 stack_usage: { pid = 6, func_ptr = 0x8033771, usage_bytes = 2928 }
[01:00:07.898816190] (+0.000018857) 0 stack_usage: { pid = 6, func_ptr = 0x80335FD, usage_bytes = 2984 }
[01:00:07.898829523] (+0.000013333) 0 stack_usage: { pid = 6, func_ptr = 0x80335A9, usage_bytes = 3008 }
[01:00:07.898843047] (+0.000013524) 0 stack_usage: { pid = 6, func_ptr = 0x8033561, usage_bytes = 3000 }
[01:00:07.898869809] (+0.000026762) 0 stack_usage: { pid = 6, func_ptr = 0x80335A9, usage_bytes = 3008 }
[01:00:07.898901333] (+0.000031524) 0 stack_usage: { pid = 6, func_ptr = 0x8033561, usage_bytes = 3000 }
[01:00:07.898928095] (+0.000026762) 0 stack_usage: { pid = 6, func_ptr = 0x80335A9, usage_bytes = 3008 }
[01:00:07.898958666] (+0.000030571) 0 stack_usage: { pid = 6, func_ptr = 0x801077D, usage_bytes = 2984 }
[01:00:07.898990285] (+0.000031619) 0 stack_usage: { pid = 6, func_ptr = 0x801077D, usage_bytes = 2984 }
[01:00:07.899013428] (+0.000023143) 0 stack_usage: { pid = 6, func_ptr = 0x8010635, usage_bytes = 3224 }
[01:00:07.899032666] (+0.000019238) 0 stack_usage: { pid = 6, func_ptr = 0x801002D, usage_bytes = 2992 }
[01:00:07.899090095] (+0.000057429) 0 stack_usage: { pid = 6, func_ptr = 0x802BBD1, usage_bytes = 2904 }
[01:00:07.899116571] (+0.000026476) 0 stack_usage: { pid = 6, func_ptr = 0x802BBD1, usage_bytes = 2904 }
[01:00:07.899149809] (+0.000033238) 0 stack_usage: { pid = 6, func_ptr = 0x800F5D1, usage_bytes = 2840 }
[01:00:07.899194476] (+0.000044667) 0 stack_usage: { pid = 6, func_ptr = 0x802C3BD, usage_bytes = 680 }
[01:00:07.899248476] (+0.000054000) 0 stack_usage: { pid = 6, func_ptr = 0x802C069, usage_bytes = 984 }
[01:00:07.899307523] (+0.000059047) 0 stack_usage: { pid = 6, func_ptr = 0x801D58D, usage_bytes = 1600 }
[01:00:07.899343333] (+0.000035810) 0 stack_usage: { pid = 6, func_ptr = 0x80156C9, usage_bytes = 1664 }
[01:00:07.899373142] (+0.000029809) 0 stack_usage: { pid = 6, func_ptr = 0x8015649, usage_bytes = 1752 }
