[01:00:05.922507047] (+0.000031905) 0 stack_usage: { pid = 7, func_ptr = 0x8034469, usage_bytes = 1104 }
[01:00:05.922569333] (+0.000062286) 0 stack_usage: { pid = 7, func_ptr = 0x801B67D, usage_bytes = 1144 }
[01:00:05.922596476] (+0.000027143) 0 stack_usage: { pid = 7, func_ptr = 0x8018B79, usage_bytes = 1296 }
[01:00:05.922625428] (+0.000028952) 0 stack_usage: { pid = 7, func_ptr = 0x801702D, usage_bytes = 1456 }
[01:00:05.922653904] (+0.000028476) 0 stack_usage: { pid = 7, func_ptr = 0x8017465, usage_bytes = 1480 }
[01:00:05.922683714] (+0.000029810) 0 stack_usage: { pid = 7, func_ptr = 0x80346B9, usage_bytes = 1480 }
[01:00:05.922711333] (+0.000027619) 0 stack_usage: { pid = 7, func_ptr = 0x8018F49, usage_bytes = 1448 }
[01:00:05.922745238] (+0.000033905) 0 stack_usage: { pid = 7, func_ptr = 0x801D491, usage_bytes = 1192 }
[01:00:05.923371904] (+0.000626666) 0 stack_usage: { pid = 7, func_ptr = 0x801702D, usage_bytes = 1248 }
[01:00:05.923401714] (+0.000029810) 0 stack_usage: { pid = 7, func_ptr = 0x80190C5, usage_bytes = 1264 }
[01:00:05.923429238] (+0.000027524) 0 stack_usage: { pid = 7, func_ptr = 0x801D27D, usage_bytes = 1400 }
[01:00:05.923456571] (+0.000027333) 0 stack_usage: { pid = 7, func_ptr = 0x8018F49, usage_bytes = 1488 }
[01:00:05.923486666] (+0.000030095) 0 stack_usage: { pid = 7, func_ptr = 0x801702D, usage_bytes = 1456 }
[01:00:05.923514857] (+0.000028191) 0 stack_usage: { pid = 7, func_ptr = 0x80261D9, usage_bytes = 1416 }
[01:00:05.923541523] (+0.000026666) 0 stack_usage: { pid = 7, func_ptr = 0x801F631, usage_bytes = 1416 }
[01:00:05.923569809] (+0.000028286) 0 stack_usage: { pid = 7, func_ptr = 0x8018FBD, usage_bytes = 1424 }
[01:00:05.923598285] (+0.000028476) 0 stack_usage: { pid = 7, func_ptr = 0x8018D05, usage_bytes = 1400 }
[01:00:05.923626380] (+0.000028095) 0 stack_usage: { pid = 7, func_ptr = 0x80173B9, usage_bytes = 1448 }
[01:00:06.431448190] (+0.507821810) 0 stack_usage: { pid = 7, func_ptr = 0x802AF55, usage_bytes = 568 }
[01:00:06.431485904] (+0.000037714) 0 stack_usage: { pid = 7, func_ptr = 0x802AFB5, usage_bytes = 520 }
[01:00:06.431516190] (+0.000030286) 0 stack_usage: { pid = 7, func_ptr = 0x802B72D, usage_bytes = 512 }
[01:00:06.431547619] (+0.000031429) 0 stack_usage: { pid = 7, func_ptr = 0x802CCDD, usage_bytes = 608 }
[01:00:06.431574952] (+0.000027333) 0 stack_usage: { pid = 7, func_ptr = 0x802CBF1, usage_bytes = 608 }
[01:00:06.431602380] (+0.000027428) 0 stack_usage: { pid = 7, func_ptr = 0x802CB39, usage_bytes = 600 }
[01:00:06.431629142] (+0.000026762) 0 stack_usage: { pid = 7, func_ptr = 0x802CC39, usage_bytes = 680 }
[01:00:06.431658857] (+0.000029715) 0 stack_usage: { pid = 7, func_ptr = 0x8018EED, usage_bytes = 720 }
[01:00:06.431686476] (+0.000027619) 0 stack_usage: { pid = 7, func_ptr = 0x8035399, usage_bytes = 912 }
[01:00:06.431714571] (+0.000028095) 0 stack_usage: { pid = 7, func_ptr = 0x8016F39, usage_bytes = 840 }
[01:00:06.431743714] (+0.000029143) 0 stack_usage: { pid = 7, func_ptr = 0x8019CA9, usage_bytes = 776 }
[01:00:06.431770476] (+0.000026762) 0 stack_usage: { pid = 7, func_ptr = 0x8018AF9, usage_bytes = 840 }
[01:00:06.431801714] (+0.000031238) 0 stack_usage: { pid = 7, func_ptr = 0x801C09D, usage_bytes = 680 }
[01:00:06.431829142] (+0.000027428) 0 stack_usage: { pid = 7, func_ptr = 0x8035419, usage_bytes = 824 }
