[01:00:22.986447047] (+0.000012571) 0 function_usage: { pid = 5, func_ptr = 0x800EE8D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.986459523] (+0.000012476) 0 function_usage: { pid = 5, func_ptr = 0x800EE8D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.986472952] (+0.000013429) 0 function_usage: { pid = 5, func_ptr = 0x800EE8D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.986485523] (+0.000012571) 0 function_usage: { pid = 5, func_ptr = 0x800EE8D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.986498952] (+0.000013429) 0 function_usage: { pid = 5, func_ptr = 0x800EE8D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.986511428] (+0.000012476) 0 function_usage: { pid = 5, func_ptr = 0x800EE8D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.986525523] (+0.000014095) 0 function_usage: { pid = 5, func_ptr = 0x800EE8D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.986538095] (+0.000012572) 0 function_usage: { pid = 5, func_ptr = 0x800EE8D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.986601047] (+0.000062952) 0 heap_alloc: { pid = 5, fn1 = 0x8002042, fn2 = 0x8001F86, fn3 = 0x80080E2, fn4 = 0x8008064, address = 0x10002740, real_alloc = 264, user_alloc = 256, user_req = 240 }
[01:00:22.986674000] (+0.000072953) 0 heap_alloc: { pid = 5, fn1 = 0x8001F92, fn2 = 0x800251E, fn3 = 0x80080E2, fn4 = 0x8008064, address = 0x10002840, real_alloc = 552, user_alloc = 544, user_req = 536 }
[01:00:22.986793523] (+0.000119523) 0 heap_alloc: { pid = 5, fn1 = 0x8001F9C, fn2 = 0x800309A, fn3 = 0x8035EA4, fn4 = 0x8008064, address = 0x10002A60, real_alloc = 88, user_alloc = 80, user_req = 64 }
[01:00:22.986860857] (+0.000067334) 0 heap_alloc: { pid = 5, fn1 = 0x8001F9C, fn2 = 0x80030A4, fn3 = 0x8035EA4, fn4 = 0x8008064, address = 0x10002AB0, real_alloc = 88, user_alloc = 80, user_req = 64 }
[01:00:22.986928285] (+0.000067428) 0 heap_alloc: { pid = 5, fn1 = 0x8001F9C, fn2 = 0x80030AE, fn3 = 0x8035EA4, fn4 = 0x8008064, address = 0x10002B00, real_alloc = 88, user_alloc = 80, user_req = 64 }
[01:00:22.986992000] (+0.000063715) 0 heap_alloc: { pid = 5, fn1 = 0x8002042, fn2 = 0x8001FAA, fn3 = 0x80088D4, fn4 = 0x8008064, address = 0x10004730, real_alloc = 20024, user_alloc = 20016, user_req = 20000 }
[01:00:22.987022761] (+0.000030761) 0 thread_create: { thread_id = 6, name = "microros" }
[01:00:22.987040380] (+0.000017619) 0 function_usage: { pid = 5, func_ptr = 0x800E8AD, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.987084571] (+0.000044191) 0 function_usage: { pid = 6, func_ptr = 0x80104B5, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:23.989329714] (+1.002245143) 0 measurement_start:
[01:00:23.989396666] (+0.000066952) 0 heap_alloc: { pid = 6, fn1 = 0x80104F2, fn2 = 0x8012FF4, fn3 = 0x8012F1A, fn4 = 0x8008064, address = 0x10002B50, real_alloc = 104, user_alloc = 96, user_req = 80 }
[01:00:23.989463047] (+0.000066381) 0 heap_alloc: { pid = 6, fn1 = 0x80104F2, fn2 = 0x8013010, fn3 = 0x80168C8, fn4 = 0x8008064, address = 0x10002BB0, real_alloc = 72, user_alloc = 64, user_req = 48 }
[01:00:23.989496952] (+0.000033905) 0 function_usage: { pid = 6, func_ptr = 0x801040D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:23.989509523] (+0.000012571) 0 function_usage: { pid = 6, func_ptr = 0x801064D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:23.989571904] (+0.000062381) 0 heap_alloc: { pid = 6, fn1 = 0x8002042, fn2 = 0x8001F86, fn3 = 0x80080E2, fn4 = 0x8008064, address = 0x10002BF0, real_alloc = 264, user_alloc = 256, user_req = 240 }
[01:00:23.989644666] (+0.000072762) 0 heap_alloc: { pid = 6, fn1 = 0x8001F92, fn2 = 0x800251E, fn3 = 0x80080E2, fn4 = 0x8008064, address = 0x10002CF0, real_alloc = 552, user_alloc = 544, user_req = 536 }
[01:00:23.989764000] (+0.000119334) 0 heap_alloc: { pid = 6, fn1 = 0x8001F9C, fn2 = 0x800309A, fn3 = 0x8035EA4, fn4 = 0x8008064, address = 0x10002F10, real_alloc = 88, user_alloc = 80, user_req = 64 }
[01:00:23.989831142] (+0.000067142) 0 heap_alloc: { pid = 6, fn1 = 0x8001F9C, fn2 = 0x80030A4, fn3 = 0x8035EA4, fn4 = 0x8008064, address = 0x10002F60, real_alloc = 88, user_alloc = 80, user_req = 64 }
[01:00:23.989898380] (+0.000067238) 0 heap_alloc: { pid = 6, fn1 = 0x8001F9C, fn2 = 0x80030AE, fn3 = 0x8035EA4, fn4 = 0x8008064, address = 0x10002FB0, real_alloc = 88, user_alloc = 80, user_req = 64 }
[01:00:23.989962000] (+0.000063620) 0 heap_alloc: { pid = 6, fn1 = 0x8002042, fn2 = 0x8001FAA, fn3 = 0x80088D4, fn4 = 0x8008064, address = 0x10009560, real_alloc = 2072, user_alloc = 2064, user_req = 2048 }
[01:00:23.989994571] (+0.000032571) 0 thread_create: { thread_id = 7, name = "popen" }
[01:00:23.990040952] (+0.000046381) 0 function_usage: { pid = 7, func_ptr = 0x8018B49, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:23.990053428] (+0.000012476) 0 function_usage: { pid = 7, func_ptr = 0x8009035, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:23.990112952] (+0.000059524) 0 heap_alloc: { pid = 7, fn1 = 0x8018B62, fn2 = 0x800904A, fn3 = 0x80080E2, fn4 = 0x8008064, address = 0x10009D70, real_alloc = 696, user_alloc = 688, user_req = 680 }
[01:00:23.990158571] (+0.000045619) 0 function_usage: { pid = 7, func_ptr = 0x8009035, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:23.990171238] (+0.000012667) 0 function_usage: { pid = 7, func_ptr = 0x800A679, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:23.990189714] (+0.000018476) 0 function_usage: { pid = 7, func_ptr = 0x800A421, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:23.990205238] (+0.000015524) 0 function_usage: { pid = 7, func_ptr = 0x8009B15, fe = ( "FUNCTION_ENTER" : container = 0 ) }
